+-------------------------------------------------+----------+-------------------------------------------+-------------------------------------------------------------+-----+
| Registry name                                   | Meta/dmg | Display name                              | Ore Dict Keys                                               | NBT |
| appliedenergistics2:material                    |       51 | Gold Dust                                 | dustGold                                                    |     |
| appliedenergistics2:nether_quartz_cutting_knife |        0 | Nether Quartz Cutting Knife               | itemQuartzKnife                                             |     |
| appliedenergistics2:nether_quartz_hoe           |    32767 | (WILDCARD)                                | toolHoe                                                     |     |
| appliedenergistics2:nether_quartz_wrench        |        0 | Nether Quartz Wrench                      | itemQuartzWrench                                            |     |
| appliedenergistics2:part                        |      160 | Bright Illuminated Panel                  | itemIlluminatedPanel                                        |     |
| appliedenergistics2:part                        |      180 | Illuminated Panel                         | itemIlluminatedPanel                                        |     |
| appliedenergistics2:part                        |      200 | Dark Illuminated Panel                    | itemIlluminatedPanel                                        |     |
| appliedenergistics2:quartz_ore                  |        0 | Certus Quartz Ore                         | oreCertusQuartz                                             |     |
| astralsorcery:blockcustomore                    |        1 | Starmetal Ore                             | oreAstralStarmetal                                          |     |
| astralsorcery:blockcustomsandore                |        0 | Aquamarine Shale                          | oreAquamarine                                               |     |
| astralsorcery:blockmarble                       |        0 | Marble                                    | blockMarble,stoneMarble                                     |     |
| astralsorcery:blockmarble                       |        1 | Marble Bricks                             | blockMarble,stoneMarble                                     |     |
| astralsorcery:blockmarble                       |        2 | Marble Pillar                             | blockMarble,stoneMarble                                     |     |
| astralsorcery:blockmarble                       |        3 | Marble Arch                               | blockMarble,stoneMarble                                     |     |
| astralsorcery:blockmarble                       |        4 | Chiseled Marble                           | blockMarble,stoneMarble                                     |     |
| astralsorcery:blockmarble                       |        5 | Engraved Marble                           | blockMarble,stoneMarble                                     |     |
| astralsorcery:blockmarble                       |        6 | Runed Marble                              | blockMarble,stoneMarble                                     |     |
| astralsorcery:itemcraftingcomponent             |        0 | Aquamarine                                | gemAquamarine                                               |     |
| astralsorcery:itemcraftingcomponent             |        1 | Starmetal Ingot                           | ingotAstralStarmetal                                        |     |
| astralsorcery:itemcraftingcomponent             |        2 | Stardust                                  | dustAstralStarmetal                                         |     |
| botania:bifrostperm                             |        0 | Bifrost Block                             | dyeRainbow                                                  |     |
| botania:blazeblock                              |        0 | Blaze Mesh                                | blockBlaze                                                  |     |
| botania:doubleflower1                           |        0 | Tall Mystical White Flower                | mysticFlowerWhiteDouble                                     |     |
| botania:doubleflower1                           |        1 | Tall Mystical Orange Flower               | mysticFlowerOrangeDouble                                    |     |
| botania:doubleflower1                           |        2 | Tall Mystical Magenta Flower              | mysticFlowerMagentaDouble                                   |     |
| botania:doubleflower1                           |        3 | Tall Mystical Light Blue Flower           | mysticFlowerLightBlueDouble                                 |     |
| botania:doubleflower1                           |        4 | Tall Mystical Yellow Flower               | mysticFlowerYellowDouble                                    |     |
| botania:doubleflower1                           |        5 | Tall Mystical Lime Flower                 | mysticFlowerLimeDouble                                      |     |
| botania:doubleflower1                           |        6 | Tall Mystical Pink Flower                 | mysticFlowerPinkDouble                                      |     |
| botania:doubleflower1                           |        7 | Tall Mystical Gray Flower                 | mysticFlowerGrayDouble                                      |     |
| botania:doubleflower2                           |        0 | Tall Mystical Light Gray Flower           | mysticFlowerLightGrayDouble                                 |     |
| botania:doubleflower2                           |        1 | Tall Mystical Cyan Flower                 | mysticFlowerCyanDouble                                      |     |
| botania:doubleflower2                           |        2 | Tall Mystical Purple Flower               | mysticFlowerPurpleDouble                                    |     |
| botania:doubleflower2                           |        3 | Tall Mystical Blue Flower                 | mysticFlowerBlueDouble                                      |     |
| botania:doubleflower2                           |        4 | Tall Mystical Brown Flower                | mysticFlowerBrownDouble                                     |     |
| botania:doubleflower2                           |        5 | Tall Mystical Green Flower                | mysticFlowerGreenDouble                                     |     |
| botania:doubleflower2                           |        6 | Tall Mystical Red Flower                  | mysticFlowerRedDouble                                       |     |
| botania:doubleflower2                           |        7 | Tall Mystical Black Flower                | mysticFlowerBlackDouble                                     |     |
| botania:dreamwood                               |        0 | Dreamwood                                 | dreamwood                                                   |     |
| botania:dye                                     |        0 | Floral White Powder                       | dye,dyeWhite                                                |     |
| botania:dye                                     |        1 | Floral Orange Powder                      | dye,dyeOrange                                               |     |
| botania:dye                                     |        2 | Floral Magenta Powder                     | dye,dyeMagenta                                              |     |
| botania:dye                                     |        3 | Floral Light Blue Powder                  | dye,dyeLightBlue                                            |     |
| botania:dye                                     |        4 | Floral Yellow Powder                      | dye,dyeYellow                                               |     |
| botania:dye                                     |        5 | Floral Lime Powder                        | dye,dyeLime                                                 |     |
| botania:dye                                     |        6 | Floral Pink Powder                        | dye,dyePink                                                 |     |
| botania:dye                                     |        7 | Floral Gray Powder                        | dye,dyeGray                                                 |     |
| botania:dye                                     |        8 | Floral Light Gray Powder                  | dye,dyeLightGray                                            |     |
| botania:dye                                     |        9 | Floral Cyan Powder                        | dye,dyeCyan                                                 |     |
| botania:dye                                     |       10 | Floral Purple Powder                      | dye,dyePurple                                               |     |
| botania:dye                                     |       11 | Floral Blue Powder                        | dye,dyeBlue                                                 |     |
| botania:dye                                     |       12 | Floral Brown Powder                       | dye,dyeBrown                                                |     |
| botania:dye                                     |       13 | Floral Green Powder                       | dye,dyeGreen                                                |     |
| botania:dye                                     |       14 | Floral Red Powder                         | dye,dyeRed                                                  |     |
| botania:dye                                     |       15 | Floral Black Powder                       | dye,dyeBlack                                                |     |
| botania:dye                                     |    32767 | (WILDCARD)                                | dye                                                         |     |
| botania:flower                                  |        0 | Mystical White Flower                     | mysticFlowerWhite                                           |     |
| botania:flower                                  |        1 | Mystical Orange Flower                    | mysticFlowerOrange                                          |     |
| botania:flower                                  |        2 | Mystical Magenta Flower                   | mysticFlowerMagenta                                         |     |
| botania:flower                                  |        3 | Mystical Light Blue Flower                | mysticFlowerLightBlue                                       |     |
| botania:flower                                  |        4 | Mystical Yellow Flower                    | mysticFlowerYellow                                          |     |
| botania:flower                                  |        5 | Mystical Lime Flower                      | mysticFlowerLime                                            |     |
| botania:flower                                  |        6 | Mystical Pink Flower                      | mysticFlowerPink                                            |     |
| botania:flower                                  |        7 | Mystical Gray Flower                      | mysticFlowerGray                                            |     |
| botania:flower                                  |        8 | Mystical Light Gray Flower                | mysticFlowerLightGray                                       |     |
| botania:flower                                  |        9 | Mystical Cyan Flower                      | mysticFlowerCyan                                            |     |
| botania:flower                                  |       10 | Mystical Purple Flower                    | mysticFlowerPurple                                          |     |
| botania:flower                                  |       11 | Mystical Blue Flower                      | mysticFlowerBlue                                            |     |
| botania:flower                                  |       12 | Mystical Brown Flower                     | mysticFlowerBrown                                           |     |
| botania:flower                                  |       13 | Mystical Green Flower                     | mysticFlowerGreen                                           |     |
| botania:flower                                  |       14 | Mystical Red Flower                       | mysticFlowerRed                                             |     |
| botania:flower                                  |       15 | Mystical Black Flower                     | mysticFlowerBlack                                           |     |
| botania:lexicon                                 |        0 | Lexica Botania                            | lexicaBotania                                               |     |
| botania:livingrock                              |        0 | Livingrock                                | livingrock                                                  |     |
| botania:livingwood                              |        0 | Livingwood                                | livingwood                                                  |     |
| botania:manaresource                            |        0 | Manasteel Ingot                           | ingotManasteel                                              |     |
| botania:manaresource                            |        1 | Mana Pearl                                | manaPearl                                                   |     |
| botania:manaresource                            |        2 | Mana Diamond                              | manaDiamond                                                 |     |
| botania:manaresource                            |        3 | Livingwood Twig                           | livingwoodTwig                                              |     |
| botania:manaresource                            |        4 | Terrasteel Ingot                          | ingotTerrasteel                                             |     |
| botania:manaresource                            |        5 | Gaia Spirit                               | eternalLifeEssence                                          |     |
| botania:manaresource                            |        6 | Redstone Root                             | redstoneRoot                                                |     |
| botania:manaresource                            |        7 | Elementium Ingot                          | ingotElvenElementium                                        |     |
| botania:manaresource                            |        8 | Pixie Dust                                | elvenPixieDust                                              |     |
| botania:manaresource                            |        9 | Dragonstone                               | elvenDragonstone                                            |     |
| botania:manaresource                            |       11 | Crafting Placeholder                      | bPlaceholder                                                |     |
| botania:manaresource                            |       12 | Red String                                | bRedString                                                  |     |
| botania:manaresource                            |       13 | Dreamwood Twig                            | dreamwoodTwig                                               |     |
| botania:manaresource                            |       14 | Gaia Spirit Ingot                         | gaiaIngot                                                   |     |
| botania:manaresource                            |       15 | Ender Air Bottle                          | bEnderAirBottle                                             |     |
| botania:manaresource                            |       16 | Mana Infused String                       | manaString                                                  |     |
| botania:manaresource                            |       17 | Manasteel Nugget                          | nuggetManasteel                                             |     |
| botania:manaresource                            |       18 | Terrasteel Nugget                         | nuggetTerrasteel                                            |     |
| botania:manaresource                            |       19 | Elementium Nugget                         | nuggetElvenElementium                                       |     |
| botania:manaresource                            |       20 | Living Root                               | livingRoot                                                  |     |
| botania:manaresource                            |       21 | Pebble                                    | pebble                                                      |     |
| botania:manaresource                            |       22 | Manaweave Cloth                           | clothManaweave                                              |     |
| botania:manaresource                            |       23 | Mana Powder                               | powderMana                                                  |     |
| botania:mushroom                                |        0 | White Shimmering Mushroom                 | petalWhite                                                  |     |
| botania:mushroom                                |        1 | Orange Shimmering Mushroom                | petalOrange                                                 |     |
| botania:mushroom                                |        2 | Magenta Shimmering Mushroom               | petalMagenta                                                |     |
| botania:mushroom                                |        3 | Light Blue Shimmering Mushroom            | petalLightBlue                                              |     |
| botania:mushroom                                |        4 | Yellow Shimmering Mushroom                | petalYellow                                                 |     |
| botania:mushroom                                |        5 | Lime Shimmering Mushroom                  | petalLime                                                   |     |
| botania:mushroom                                |        6 | Pink Shimmering Mushroom                  | petalPink                                                   |     |
| botania:mushroom                                |        7 | Gray Shimmering Mushroom                  | petalGray                                                   |     |
| botania:mushroom                                |        8 | Light Gray Shimmering Mushroom            | petalLightGray                                              |     |
| botania:mushroom                                |        9 | Cyan Shimmering Mushroom                  | petalCyan                                                   |     |
| botania:mushroom                                |       10 | Purple Shimmering Mushroom                | petalPurple                                                 |     |
| botania:mushroom                                |       11 | Blue Shimmering Mushroom                  | petalBlue                                                   |     |
| botania:mushroom                                |       12 | Brown Shimmering Mushroom                 | petalBrown                                                  |     |
| botania:mushroom                                |       13 | Green Shimmering Mushroom                 | petalGreen                                                  |     |
| botania:mushroom                                |       14 | Red Shimmering Mushroom                   | petalRed                                                    |     |
| botania:mushroom                                |       15 | Black Shimmering Mushroom                 | petalBlack                                                  |     |
| botania:pestleandmortar                         |        0 | Pestle and Mortar                         | pestleAndMortar                                             |     |
| botania:petal                                   |        0 | Mystical White Petal                      | petalWhite                                                  |     |
| botania:petal                                   |        1 | Mystical Orange Petal                     | petalOrange                                                 |     |
| botania:petal                                   |        2 | Mystical Magenta Petal                    | petalMagenta                                                |     |
| botania:petal                                   |        3 | Mystical Light Blue Petal                 | petalLightBlue                                              |     |
| botania:petal                                   |        4 | Mystical Yellow Petal                     | petalYellow                                                 |     |
| botania:petal                                   |        5 | Mystical Lime Petal                       | petalLime                                                   |     |
| botania:petal                                   |        6 | Mystical Pink Petal                       | petalPink                                                   |     |
| botania:petal                                   |        7 | Mystical Gray Petal                       | petalGray                                                   |     |
| botania:petal                                   |        8 | Mystical Light Gray Petal                 | petalLightGray                                              |     |
| botania:petal                                   |        9 | Mystical Cyan Petal                       | petalCyan                                                   |     |
| botania:petal                                   |       10 | Mystical Purple Petal                     | petalPurple                                                 |     |
| botania:petal                                   |       11 | Mystical Blue Petal                       | petalBlue                                                   |     |
| botania:petal                                   |       12 | Mystical Brown Petal                      | petalBrown                                                  |     |
| botania:petal                                   |       13 | Mystical Green Petal                      | petalGreen                                                  |     |
| botania:petal                                   |       14 | Mystical Red Petal                        | petalRed                                                    |     |
| botania:petal                                   |       15 | Mystical Black Petal                      | petalBlack                                                  |     |
| botania:quartz                                  |        0 | Smokey Quartz                             | quartzDark                                                  |     |
| botania:quartz                                  |        1 | Mana Quartz                               | quartzMana                                                  |     |
| botania:quartz                                  |        2 | Blaze Quartz                              | quartzBlaze                                                 |     |
| botania:quartz                                  |        3 | Lavender Quartz                           | quartzLavender                                              |     |
| botania:quartz                                  |        4 | Redquartz                                 | quartzRed                                                   |     |
| botania:quartz                                  |        5 | Elven Quartz                              | quartzElven                                                 |     |
| botania:quartz                                  |        6 | Sunny Quartz                              | quartzSunny                                                 |     |
| botania:rune                                    |        0 | Rune of Water                             | runeWaterB                                                  |     |
| botania:rune                                    |        1 | Rune of Fire                              | runeFireB                                                   |     |
| botania:rune                                    |        2 | Rune of Earth                             | runeEarthB                                                  |     |
| botania:rune                                    |        3 | Rune of Air                               | runeAirB                                                    |     |
| botania:rune                                    |        4 | Rune of Spring                            | runeSpringB                                                 |     |
| botania:rune                                    |        5 | Rune of Summer                            | runeSummerB                                                 |     |
| botania:rune                                    |        6 | Rune of Autumn                            | runeAutumnB                                                 |     |
| botania:rune                                    |        7 | Rune of Winter                            | runeWinterB                                                 |     |
| botania:rune                                    |        8 | Rune of Mana                              | runeManaB                                                   |     |
| botania:rune                                    |        9 | Rune of Lust                              | runeLustB                                                   |     |
| botania:rune                                    |       10 | Rune of Gluttony                          | runeGluttonyB                                               |     |
| botania:rune                                    |       11 | Rune of Greed                             | runeGreedB                                                  |     |
| botania:rune                                    |       12 | Rune of Sloth                             | runeSlothB                                                  |     |
| botania:rune                                    |       13 | Rune of Wrath                             | runeWrathB                                                  |     |
| botania:rune                                    |       14 | Rune of Envy                              | runeEnvyB                                                   |     |
| botania:rune                                    |       15 | Rune of Pride                             | runePrideB                                                  |     |
| botania:storage                                 |        0 | Block of Manasteel                        | blockManasteel                                              |     |
| botania:storage                                 |        1 | Block of Terrasteel                       | blockTerrasteel                                             |     |
| botania:storage                                 |        2 | Block of Elementium                       | blockElvenElementium                                        |     |
| botania:vial                                    |        0 | Managlass Vial                            | bVial                                                       |     |
| botania:vial                                    |        1 | Alfglass Flask                            | bFlask                                                      |     |
| chisel:andesite                                 |        0 | Andesite                                  | stoneAndesite,stoneAndesitePolished                         |     |
| chisel:andesite                                 |        1 | Andesite                                  | stoneAndesite,stoneAndesitePolished                         |     |
| chisel:andesite                                 |        2 | Andesite                                  | stoneAndesite,stoneAndesitePolished                         |     |
| chisel:andesite                                 |        3 | Andesite                                  | stoneAndesite,stoneAndesitePolished                         |     |
| chisel:andesite                                 |        4 | Andesite                                  | stoneAndesite,stoneAndesitePolished                         |     |
| chisel:andesite                                 |        5 | Andesite                                  | stoneAndesite,stoneAndesitePolished                         |     |
| chisel:andesite                                 |        6 | Andesite                                  | stoneAndesite,stoneAndesitePolished                         |     |
| chisel:andesite                                 |        7 | Andesite                                  | stoneAndesite,stoneAndesitePolished                         |     |
| chisel:andesite                                 |        8 | Andesite                                  | stoneAndesite,stoneAndesitePolished                         |     |
| chisel:andesite                                 |        9 | Andesite                                  | stoneAndesite,stoneAndesitePolished                         |     |
| chisel:andesite                                 |       10 | Andesite                                  | stoneAndesite,stoneAndesitePolished                         |     |
| chisel:andesite                                 |       11 | Andesite                                  | stoneAndesite,stoneAndesitePolished                         |     |
| chisel:andesite                                 |       12 | Andesite                                  | stoneAndesite,stoneAndesitePolished                         |     |
| chisel:andesite                                 |       13 | Andesite                                  | stoneAndesite,stoneAndesitePolished                         |     |
| chisel:andesite                                 |       14 | Andesite                                  | stoneAndesite,stoneAndesitePolished                         |     |
| chisel:andesite                                 |       15 | Andesite                                  | stoneAndesite,stoneAndesitePolished                         |     |
| chisel:andesite1                                |        0 | Andesite                                  | stoneAndesite,stoneAndesitePolished                         |     |
| chisel:andesite1                                |        1 | Andesite                                  | stoneAndesite,stoneAndesitePolished                         |     |
| chisel:andesite1                                |        2 | Andesite                                  | stoneAndesite,stoneAndesitePolished                         |     |
| chisel:andesite1                                |        3 | Andesite                                  | stoneAndesite,stoneAndesitePolished                         |     |
| chisel:andesite1                                |        4 | Andesite                                  | stoneAndesite,stoneAndesitePolished                         |     |
| chisel:andesite1                                |        5 | Andesite                                  | stoneAndesite,stoneAndesitePolished                         |     |
| chisel:andesite1                                |        6 | Andesite                                  | stoneAndesite,stoneAndesitePolished                         |     |
| chisel:andesite1                                |        7 | Andesite                                  | stoneAndesite,stoneAndesitePolished                         |     |
| chisel:andesite1                                |        8 | Andesite                                  | stoneAndesite,stoneAndesitePolished                         |     |
| chisel:andesite1                                |        9 | Andesite                                  | stoneAndesite,stoneAndesitePolished                         |     |
| chisel:andesite1                                |       10 | Andesite                                  | stoneAndesite,stoneAndesitePolished                         |     |
| chisel:andesite1                                |       11 | Andesite                                  | stoneAndesite,stoneAndesitePolished                         |     |
| chisel:andesite1                                |       12 | Andesite                                  | stoneAndesite,stoneAndesitePolished                         |     |
| chisel:andesite1                                |       13 | Andesite                                  | stoneAndesite,stoneAndesitePolished                         |     |
| chisel:andesite1                                |       14 | Andesite                                  | stoneAndesite,stoneAndesitePolished                         |     |
| chisel:andesite1                                |       15 | Andesite                                  | stoneAndesite,stoneAndesitePolished                         |     |
| chisel:andesite2                                |        0 | Andesite                                  | stoneAndesite,stoneAndesitePolished                         |     |
| chisel:basalt                                   |        0 | Basalt                                    | stoneBasalt,stoneBasaltPolished                             |     |
| chisel:basalt                                   |        1 | Basalt                                    | stoneBasalt,stoneBasaltPolished                             |     |
| chisel:basalt                                   |        2 | Basalt                                    | stoneBasalt,stoneBasaltPolished                             |     |
| chisel:basalt                                   |        3 | Basalt                                    | stoneBasalt,stoneBasaltPolished                             |     |
| chisel:basalt                                   |        4 | Basalt                                    | stoneBasalt,stoneBasaltPolished                             |     |
| chisel:basalt                                   |        5 | Basalt                                    | stoneBasalt,stoneBasaltPolished                             |     |
| chisel:basalt                                   |        6 | Basalt                                    | stoneBasalt,stoneBasaltPolished                             |     |
| chisel:basalt                                   |        7 | Basalt                                    | stoneBasalt,stoneBasaltPolished                             |     |
| chisel:basalt                                   |        8 | Basalt                                    | stoneBasalt,stoneBasaltPolished                             |     |
| chisel:basalt                                   |        9 | Basalt                                    | stoneBasalt,stoneBasaltPolished                             |     |
| chisel:basalt                                   |       10 | Basalt                                    | stoneBasalt,stoneBasaltPolished                             |     |
| chisel:basalt                                   |       11 | Basalt                                    | stoneBasalt,stoneBasaltPolished                             |     |
| chisel:basalt                                   |       12 | Basalt                                    | stoneBasalt,stoneBasaltPolished                             |     |
