+-----+---------------------------------------------------+-------------------------------------+---------+----------+------+-------+---------+------------+-------------------------------------------------+----------------------------+
|  ID | Registry name                                     | Biome name                          |   temp. | temp cat | rain |  snow | oceanic | BiomeType  | BiomeDictionary.Type                            | Valid for                  |
|  50 | galacticraftcore:outer space                      | Space                               |    0.50 | MEDIUM   | 0.00 | false | false   |            | DEAD, DRY, SPARSE, SPOOKY                       | stronghold                 |
|  51 | galacticraftplanets:outer space 1                 | Venus Mountain                      |    4.00 | WARM     | 0.00 | false | false   |            | DEAD, DRY, HOT, SANDY                           | stronghold                 |
|  52 | galacticraftplanets:outer space 2                 | Venus Valley                        |    4.00 | WARM     | 0.00 | false | false   |            | DEAD, DRY, HOT, SANDY                           |                            |
|  53 | twilightforest:twilight_lake                      | Twilight Lake                       |    0.66 | MEDIUM   | 1.00 | false | false   |            | OCEAN, WATER                                    |                            |
|  54 | twilightforest:twilight_forest                    | Twilight Forest                     |    0.50 | MEDIUM   | 0.50 | false | false   |            | FOREST                                          | stronghold                 |
|  55 | twilightforest:dense_twilight_forest              | Dense Twilight Forest               |    0.70 | MEDIUM   | 0.80 | false | false   |            | DENSE, FOREST                                   | stronghold                 |
|  56 | twilightforest:twilight_highlands                 | Twilight Highlands                  |    0.40 | MEDIUM   | 0.70 | false | false   |            | CONIFEROUS, FOREST, MOUNTAIN                    | stronghold                 |
|  57 | twilightforest:mushroom_forest                    | Mushroom Forest                     |    0.80 | MEDIUM   | 0.80 | false | false   |            | FOREST, MUSHROOM                                | stronghold                 |
|  58 | twilightforest:twilight_swamp                     | Twilight Swamp                      |    0.80 | MEDIUM   | 0.90 | false | false   |            | SWAMP, WET                                      |                            |
|  59 | twilightforest:twilight_stream                    | Twilight Stream                     |    0.50 | MEDIUM   | 0.10 | false | false   |            | RIVER, WATER                                    |                            |
|  60 | twilightforest:snowy_forest                       | Snowy Forest                        |    0.09 | COLD     | 0.90 |  true | false   |            | COLD, CONIFEROUS, FOREST, SNOWY                 | stronghold                 |
|  61 | twilightforest:twilight_glacier                   | Twilight Glacier                    |    0.00 | COLD     | 0.10 |  true | false   |            | COLD, SNOWY, WASTELAND                          | stronghold                 |
|  62 | twilightforest:twilight_clearing                  | Twilight Clearing                   |    0.80 | MEDIUM   | 0.40 | false | false   |            | PLAINS, SPARSE                                  | stronghold                 |
|  63 | twilightforest:oak_savannah                       | Oak Savanna                         |    0.90 | MEDIUM   | 0.00 | false | false   |            | FOREST, SPARSE                                  | stronghold                 |
|  64 | twilightforest:firefly_forest                     | Firefly Forest                      |    0.50 | MEDIUM   | 1.00 | false | false   |            | FOREST, LUSH                                    | stronghold                 |
|  65 | twilightforest:deep_mushroom_forest               | Deep Mushroom Forest                |    0.80 | MEDIUM   | 1.00 | false | false   |            | FOREST, MUSHROOM                                | stronghold                 |
|  66 | twilightforest:dark_forest                        | Dark Forest                         |    0.70 | MEDIUM   | 0.80 | false | false   |            | DENSE, FOREST, SPOOKY                           | stronghold                 |
|  67 | twilightforest:enchanted_forest                   | Enchanted Forest                    |    0.50 | MEDIUM   | 0.50 | false | false   |            | FOREST, MAGICAL                                 | stronghold                 |
|  68 | twilightforest:fire_swamp                         | Fire Swamp                          |    1.00 | WARM     | 0.40 | false | false   |            | HOT, SWAMP, WASTELAND                           | stronghold                 |
|  69 | twilightforest:dark_forest_center                 | Dark Forest Center                  |    0.50 | MEDIUM   | 0.50 | false | false   |            | DENSE, FOREST, MAGICAL, SPOOKY                  | stronghold                 |
|  70 | twilightforest:highlands_center                   | Highlands Center                    |    0.30 | MEDIUM   | 0.20 | false | false   |            | DEAD, DRY, MESA, WASTELAND                      | stronghold                 |
|  71 | twilightforest:thornlands                         | Thornlands                          |    0.30 | MEDIUM   | 0.20 | false | false   |            | DEAD, DRY, HILLS, WASTELAND                     | stronghold                 |
|  72 | nex:ruthless_sands                                | Ruthless Sands                      |    2.00 | WARM     | 0.00 | false | false   |            | DRY, HOT, NETHER, SANDY                         | stronghold                 |
|  73 | nex:fungi_forest                                  | Fungi Forest                        |    1.10 | WARM     | 0.00 | false | false   |            | DRY, HOT, MUSHROOM, NETHER                      | stronghold                 |
|  74 | nex:torrid_wasteland                              | Torrid Wasteland                    |    4.00 | WARM     | 0.00 | false | false   |            | DRY, HOT, NETHER, WASTELAND                     | stronghold                 |
|  75 | nex:arctic_abyss                                  | Arctic Abyss                        |    0.00 | COLD     | 0.00 | false | false   |            | COLD, NETHER, WET                               | stronghold                 |
|  76 | traverse:autumnal_woods                           | Autumnal Woods                      |    0.70 | MEDIUM   | 0.80 | false | false   | COOL       | FOREST                                          | spawn, stronghold          |
|  77 | traverse:woodlands                                | Woodlands                           |    0.80 | MEDIUM   | 0.40 | false | false   | WARM       | PLAINS                                          | spawn, stronghold, village |
|  78 | traverse:mini_jungle                              | Mini Jungle                         |    0.95 | MEDIUM   | 0.90 | false | false   | WARM       | DENSE, HOT, JUNGLE, WET                         | spawn                      |
|  79 | traverse:meadow                                   | Meadow                              |    0.80 | MEDIUM   | 0.70 | false | false   | COOL       | LUSH, PLAINS, WET                               | spawn, stronghold, village |
|  80 | traverse:green_swamp                              | Lush Swamp                          |    0.80 | MEDIUM   | 0.50 | false | false   | WARM       | LUSH, SWAMP, WET                                | spawn                      |
|  81 | traverse:red_desert                               | Red Desert                          |    2.00 | WARM     | 0.00 | false | false   | DESERT     | DRY, HOT, SANDY                                 | spawn, stronghold, village |
|  82 | traverse:temperate_rainforest                     | Temperate Rainforest                |    0.60 | MEDIUM   | 0.90 | false | false   | COOL       | CONIFEROUS, FOREST                              | spawn, stronghold          |
|  83 | traverse:badlands                                 | Badlands                            |    0.60 | MEDIUM   | 0.10 | false | false   | WARM       | DRY, HOT, PLAINS, SPARSE                        | spawn, stronghold, village |
|  84 | traverse:mountainous_desert                       | Mountainous Desert                  |    2.00 | WARM     | 0.00 | false | false   | DESERT     | DRY, HOT, MOUNTAIN, SANDY                       | spawn, stronghold          |
|  85 | traverse:rocky_plateau                            | Rocky Plateau                       |    0.80 | MEDIUM   | 0.20 | false | false   | WARM       | HOT, MOUNTAIN                                   | spawn, stronghold, village |
|  86 | traverse:forested_hills                           | Forested Hills                      |    0.70 | MEDIUM   | 0.80 | false | false   | COOL       | FOREST, HILLS                                   | spawn, stronghold          |
|  87 | traverse:birch_forested_hills                     | Birch Forested Hills                |    0.70 | MEDIUM   | 0.80 | false | false   | COOL       | FOREST, HILLS                                   | spawn, stronghold          |
|  88 | traverse:autumnal_wooded_hills                    | Autumnal Wooded Hills               |    0.70 | MEDIUM   | 0.80 | false | false   | COOL       | FOREST, HILLS                                   | spawn, stronghold          |
|  89 | traverse:cliffs                                   | Cliffs                              |    0.40 | MEDIUM   | 1.20 | false | false   | COOL       | COLD, HILLS, MOUNTAIN                           | spawn, stronghold          |
|  90 | traverse:glacier                                  | Glacier                             |    0.00 | COLD     | 0.50 |  true | false   | ICY        | COLD, MOUNTAIN, SNOWY                           | spawn, stronghold          |
|  91 | traverse:glacier_spikes                           | Glacier Spikes                      |    0.00 | COLD     | 0.50 |  true | false   | ICY        | COLD, MOUNTAIN, SNOWY                           | spawn, stronghold          |
|  92 | traverse:snowy_coniferous_forest                  | Snowy Coniferous Forest             |    0.00 | COLD     | 0.50 |  true | false   | ICY        | COLD, CONIFEROUS, FOREST, SNOWY                 | spawn, stronghold          |
|  93 | traverse:lush_hills                               | Lush Hills                          |    0.50 | MEDIUM   | 0.80 | false | false   | COOL       | HILLS, LUSH, SPARSE, WET                        | spawn, stronghold, village |
|  94 | traverse:desert_shrubland                         | Desert Shrubland                    |    2.00 | WARM     | 0.00 | false | false   | DESERT     | DEAD, DRY, HOT, SANDY                           | spawn, stronghold, village |
|  95 | traverse:thicket                                  | Thicket                             |    0.80 | MEDIUM   | 0.30 | false | false   | WARM       | DENSE, FOREST                                   | spawn, stronghold          |
|  96 | traverse:arid_highland                            | Arid Highland                       |    2.00 | WARM     | 0.00 | false | false   | DESERT     | DRY, HILLS, HOT, MOUNTAIN, SPARSE               | spawn, stronghold, village |
|  97 | traverse:rocky_plains                             | Rocky Plains                        |    0.90 | MEDIUM   | 0.70 | false | false   | COOL       | HILLS, PLAINS, SPARSE                           | spawn, stronghold, village |
|  98 | aether_legacy:aether_highlands                    | Aether Highlands                    |    0.50 | MEDIUM   | 0.00 | false | false   |            | DRY, PLAINS                                     | stronghold                 |
|  99 | dimdoors:limbo                                    | Limbo                               |    0.50 | MEDIUM   | 0.00 | false | false   |            | VOID                                            | stronghold                 |
| 100 | dimdoors:white_void                               | White Void                          |    0.50 | MEDIUM   | 0.00 | false | false   |            | VOID                                            |                            |
| 101 | dimdoors:black_void                               | Black Void                          |    0.50 | MEDIUM   | 0.00 | false | false   |            | VOID                                            |                            |
| 102 | dimdoors:dangerous_black_void                     | Dangerous Black Void                |    0.50 | MEDIUM   | 0.00 | false | false   |            | VOID                                            |                            |
| 103 | beneath:the_beneath                               | The Beneath                         |    0.50 | MEDIUM   | 0.50 | false | false   |            | DEAD                                            | stronghold                 |
| 104 | thebetweenlands:patchy_islands                    | Patchy Islands                      |    0.80 | MEDIUM   | 0.90 | false | false   |            | SWAMP, WATER, WET                               | stronghold                 |
| 105 | thebetweenlands:swamplands                        | Swamplands                          |    0.80 | MEDIUM   | 0.90 | false | false   |            | DENSE, FOREST, SWAMP, WATER, WET                | stronghold                 |
| 106 | thebetweenlands:deep_waters                       | Deep Waters                         |    0.80 | MEDIUM   | 0.90 | false | false   |            | SWAMP, WATER                                    | stronghold                 |
| 107 | thebetweenlands:coarse_islands                    | Coarse Islands                      |    0.80 | MEDIUM   | 0.90 | false | false   |            | SWAMP, WATER, WET                               | stronghold                 |
| 108 | thebetweenlands:sludge_plains                     | Sludge Plains                       |    0.80 | MEDIUM   | 0.90 | false | false   |            | DEAD, SWAMP, WASTELAND, WET                     | stronghold                 |
| 109 | thebetweenlands:marsh_0                           | Marsh 0                             |    0.80 | MEDIUM   | 0.90 | false | false   |            | SWAMP, WATER, WET                               | stronghold                 |
| 110 | thebetweenlands:marsh_1                           | Marsh 1                             |    0.80 | MEDIUM   | 0.90 | false | false   |            | SWAMP, WATER, WET                               | stronghold                 |
| 111 | tropicraft:tc_tropics_ocean                       | TROPICS_OCEAN                       |    1.50 | WARM     | 1.25 | false | false   |            | HILLS, HOT, OCEAN, WATER, WET                   |                            |
| 112 | tropicraft:tc_tropics_kelp_forest                 | KELP_FOREST                         |    2.00 | WARM     | 1.25 | false | false   |            | HOT, OCEAN, SWAMP, WATER, WET                   |                            |
| 113 | tropicraft:tc_tropics                             | TROPICS                             |    2.00 | WARM     | 1.50 | false | false   |            | HOT, PLAINS, WET                                | stronghold                 |
| 114 | tropicraft:tc_tropics_rainforest_plains           | TROPICS_RAINFOREST_PLAINS           |    1.50 | WARM     | 2.00 | false | false   |            | HOT, PLAINS, WET                                | stronghold                 |
| 115 | tropicraft:tc_tropics_rainforest_hills            | TROPICS_RAINFOREST_HILLS            |    1.50 | WARM     | 2.00 | false | false   |            | HILLS, HOT, WET                                 | stronghold                 |
| 116 | tropicraft:tc_tropics_rainforest_mountains        | TROPICS_RAINFOREST_MOUNTAINS        |    1.50 | WARM     | 2.00 | false | false   |            | HILLS, HOT, WET                                 | stronghold                 |
| 117 | tropicraft:tc_tropics_rainforest_island_mountains | TROPICS_RAINFOREST_ISLAND_MOUNTAINS |    1.50 | WARM     | 2.00 | false | false   |            | HOT, MOUNTAIN, WET                              | stronghold                 |
| 118 | tropicraft:tc_tropics_river                       | TROPICS_RIVER                       |    1.50 | WARM     | 1.25 | false | false   |            | HOT, OCEAN, SWAMP, WATER, WET                   |                            |
| 119 | tropicraft:tc_tropics_beach                       | TROPICS_BEACH                       |    1.50 | WARM     | 1.25 | false | false   |            | HOT, SWAMP, WET                                 |                            |
| 120 | tropicraft:tc_tropics_lake                        | TROPICS_LAKE                        |    1.50 | WARM     | 1.50 | false | false   |            | HOT, OCEAN, SWAMP, WATER, WET                   |                            |
| 121 | aroma1997sdimension:miningbiome                   | miningBiome                         |    0.50 | MEDIUM   | 0.50 | false | false   |            | PLAINS                                          | stronghold, village        |
| 127 | minecraft:void                                    | The Void                            |    0.50 | MEDIUM   | 0.50 | false | false   |            | VOID                                            | stronghold                 |
| 129 | minecraft:mutated_plains                          | Sunflower Plains                    |    0.80 | MEDIUM   | 0.40 | false | false   |            | PLAINS, RARE                                    | stronghold                 |
| 130 | minecraft:mutated_desert                          | Desert M                            |    2.00 | WARM     | 0.00 | false | false   |            | DRY, HOT, RARE, SANDY                           | stronghold                 |
| 131 | minecraft:mutated_extreme_hills                   | Extreme Hills M                     |    0.20 | MEDIUM   | 0.30 | false | false   |            | MOUNTAIN, RARE, SPARSE                          | stronghold                 |
| 132 | minecraft:mutated_forest                          | Flower Forest                       |    0.70 | MEDIUM   | 0.80 | false | false   |            | FOREST, HILLS, RARE                             | stronghold                 |
| 133 | minecraft:mutated_taiga                           | Taiga M                             |    0.25 | MEDIUM   | 0.80 | false | false   |            | COLD, CONIFEROUS, FOREST, MOUNTAIN, RARE        | stronghold                 |
| 134 | minecraft:mutated_swampland                       | Swampland M                         |    0.80 | MEDIUM   | 0.90 | false | false   |            | HILLS, RARE, SWAMP, WET                         |                            |
| 140 | minecraft:mutated_ice_flats                       | Ice Plains Spikes                   |    0.00 | COLD     | 0.50 |  true | false   |            | COLD, HILLS, RARE, SNOWY                        | stronghold                 |
| 149 | minecraft:mutated_jungle                          | Jungle M                            |    0.95 | MEDIUM   | 0.90 | false | false   |            | DENSE, HOT, JUNGLE, MOUNTAIN, RARE, WET         | stronghold                 |
| 151 | minecraft:mutated_jungle_edge                     | JungleEdge M                        |    0.95 | MEDIUM   | 0.80 | false | false   |            | HILLS, HOT, JUNGLE, RARE, SPARSE                | stronghold                 |
| 155 | minecraft:mutated_birch_forest                    | Birch Forest M                      |    0.60 | MEDIUM   | 0.60 | false | false   |            | DENSE, FOREST, HILLS, RARE                      | stronghold                 |
| 156 | minecraft:mutated_birch_forest_hills              | Birch Forest Hills M                |    0.60 | MEDIUM   | 0.60 | false | false   |            | DENSE, FOREST, MOUNTAIN, RARE                   | stronghold                 |
| 157 | minecraft:mutated_roofed_forest                   | Roofed Forest M                     |    0.70 | MEDIUM   | 0.80 | false | false   |            | DENSE, FOREST, MOUNTAIN, RARE, SPOOKY           | stronghold                 |
| 158 | minecraft:mutated_taiga_cold                      | Cold Taiga M                        |   -0.50 | COLD     | 0.40 |  true | false   |            | COLD, CONIFEROUS, FOREST, MOUNTAIN, RARE, SNOWY | stronghold                 |
| 160 | minecraft:mutated_redwood_taiga                   | Mega Spruce Taiga                   |    0.25 | MEDIUM   | 0.80 | false | false   |            | DENSE, FOREST, RARE                             | stronghold                 |
| 161 | minecraft:mutated_redwood_taiga_hills             | Redwood Taiga Hills M               |    0.25 | MEDIUM   | 0.80 | false | false   |            | DENSE, FOREST, HILLS, RARE                      | stronghold                 |
| 162 | minecraft:mutated_extreme_hills_with_trees        | Extreme Hills+ M                    |    0.20 | MEDIUM   | 0.30 | false | false   |            | MOUNTAIN, RARE, SPARSE                          | stronghold                 |
| 163 | minecraft:mutated_savanna                         | Savanna M                           |    1.10 | WARM     | 0.00 | false | false   |            | DRY, HOT, MOUNTAIN, RARE, SAVANNA, SPARSE       | stronghold                 |
| 164 | minecraft:mutated_savanna_rock                    | Savanna Plateau M                   |    1.00 | WARM     | 0.00 | false | false   |            | DRY, HILLS, HOT, RARE, SAVANNA, SPARSE          | stronghold                 |
| 165 | minecraft:mutated_mesa                            | Mesa (Bryce)                        |    2.00 | WARM     | 0.00 | false | false   |            | DRY, HOT, MOUNTAIN, RARE, SAVANNA, SPARSE       | stronghold                 |
| 166 | minecraft:mutated_mesa_rock                       | Mesa Plateau F M                    |    2.00 | WARM     | 0.00 | false | false   |            | DRY, HILLS, HOT, RARE, SPARSE                   | stronghold                 |
| 167 | minecraft:mutated_mesa_clear_rock                 | Mesa Plateau M                      |    2.00 | WARM     | 0.00 | false | false   |            | DRY, HOT, MOUNTAIN, RARE, SAVANNA, SPARSE       | stronghold                 |
+-----+---------------------------------------------------+-------------------------------------+---------+----------+------+-------+---------+------------+-------------------------------------------------+----------------------------+
|  ID | Registry name                                     | Biome name                          |   temp. | temp cat | rain |  snow | oceanic | BiomeType  | BiomeDictionary.Type                            | Valid for                  |
+-----+---------------------------------------------------+-------------------------------------+---------+----------+------+-------+---------+------------+-------------------------------------------------+----------------------------+
